trial,target_g,time_s,raw,voltage
1,25,0.000,288,0.0145
1,25,0.080,336,0.0169
1,25,0.132,256,0.0129
1,25,0.184,416,0.0209
1,25,0.235,320,0.0161
1,25,0.286,896,0.0451
1,25,0.338,320,0.0161
1,25,0.389,720,0.0363
1,25,0.440,320,0.0161
1,25,0.491,576,0.0290
1,25,0.542,256,0.0129
1,25,0.593,320,0.0161
1,25,0.644,192,0.0097
1,25,0.695,320,0.0161
1,25,0.746,1184,0.0596
1,25,0.798,336,0.0169
1,25,0.849,720,0.0363
1,25,0.900,336,0.0169
1,25,0.952,432,0.0218
1,25,1.003,320,0.0161
1,25,1.054,336,0.0169
1,25,1.105,336,0.0169
1,25,1.156,336,0.0169
1,25,1.207,704,0.0354
1,25,1.258,256,0.0129
1,25,1.309,704,0.0354
1,25,1.360,288,0.0145
1,25,1.411,464,0.0234
1,25,1.463,320,0.0161
1,25,1.514,320,0.0161
1,25,1.565,368,0.0185
1,25,1.617,176,0.0089
1,25,1.668,736,0.0371
1,25,1.719,320,0.0161
1,25,1.771,576,0.0290
1,25,1.822,320,0.0161
1,25,1.873,288,0.0145
1,25,1.925,400,0.0201
1,25,1.976,320,0.0161
1,25,2.027,800,0.0403
1,25,2.079,320,0.0161
1,25,2.130,688,0.0346
1,25,2.184,304,0.0153
1,25,2.236,320,0.0161
1,25,2.287,768,0.0387
1,25,2.338,336,0.0169
1,25,2.390,672,0.0338
1,25,2.441,384,0.0193
1,25,2.492,416,0.0209
1,25,2.544,320,0.0161
1,25,2.595,336,0.0169
1,25,2.646,416,0.0209
1,25,2.698,336,0.0169
1,25,2.749,848,0.0427
1,25,2.800,320,0.0161
1,25,2.851,272,0.0137
1,25,2.903,400,0.0201
1,25,2.954,320,0.0161
2,25,0.000,448,0.0226
2,25,0.083,336,0.0169
2,25,0.135,752,0.0379
2,25,0.187,320,0.0161
2,25,0.238,816,0.0411
2,25,0.289,320,0.0161
2,25,0.340,464,0.0234
2,25,0.391,336,0.0169
2,25,0.442,320,0.0161
2,25,0.493,320,0.0161
2,25,0.544,320,0.0161
2,25,0.595,736,0.0371
2,25,0.646,336,0.0169
2,25,0.697,720,0.0363
2,25,0.748,256,0.0129
2,25,0.799,592,0.0298
2,25,0.850,320,0.0161
2,25,0.901,320,0.0161
2,25,0.952,320,0.0161
2,25,1.004,320,0.0161
2,25,1.055,720,0.0363
2,25,1.106,464,0.0234
2,25,1.158,752,0.0379
2,25,1.209,320,0.0161
2,25,1.260,432,0.0218
2,25,1.312,320,0.0161
2,25,1.363,336,0.0169
2,25,1.414,784,0.0395
2,25,1.466,320,0.0161
2,25,1.517,736,0.0371
2,25,1.571,336,0.0169
2,25,1.623,320,0.0161
2,25,1.674,336,0.0169
2,25,1.725,320,0.0161
2,25,1.776,784,0.0395
2,25,1.827,304,0.0153
2,25,1.879,640,0.0322
2,25,1.930,336,0.0169
2,25,1.981,320,0.0161
2,25,2.032,352,0.0177
2,25,2.084,320,0.0161
2,25,2.135,704,0.0354
2,25,2.186,320,0.0161
2,25,2.238,688,0.0346
2,25,2.289,336,0.0169
2,25,2.340,432,0.0218
2,25,2.392,320,0.0161
2,25,2.443,320,0.0161
2,25,2.494,304,0.0153
2,25,2.545,288,0.0145
2,25,2.596,768,0.0387
2,25,2.647,320,0.0161
2,25,2.699,688,0.0346
2,25,2.750,336,0.0169
2,25,2.801,336,0.0169
2,25,2.852,336,0.0169
2,25,2.904,320,0.0161
2,25,2.955,800,0.0403
3,25,0.001,336,0.0169
3,25,0.092,624,0.0314
3,25,0.144,320,0.0161
3,25,0.195,320,0.0161
3,25,0.246,336,0.0169
3,25,0.298,320,0.0161
3,25,0.349,768,0.0387
3,25,0.400,288,0.0145
3,25,0.452,592,0.0298
3,25,0.503,320,0.0161
3,25,0.554,400,0.0201
3,25,0.606,320,0.0161
3,25,0.657,320,0.0161
3,25,0.708,384,0.0193
3,25,0.760,320,0.0161
3,25,0.811,784,0.0395
3,25,0.862,336,0.0169
3,25,0.913,448,0.0226
3,25,0.965,320,0.0161
3,25,1.019,336,0.0169
3,25,1.071,736,0.0371
3,25,1.122,320,0.0161
3,25,1.173,608,0.0306
3,25,1.225,320,0.0161
3,25,1.276,512,0.0258
3,25,1.327,320,0.0161
3,25,1.379,304,0.0153
3,25,1.430,736,0.0371
3,25,1.481,336,0.0169
3,25,1.532,576,0.0290
3,25,1.583,320,0.0161
3,25,1.634,352,0.0177
3,25,1.685,320,0.0161
3,25,1.736,304,0.0153
3,25,1.787,288,0.0145
3,25,1.838,320,0.0161
3,25,1.889,656,0.0330
3,25,1.940,336,0.0169
3,25,1.991,688,0.0346
3,25,2.043,320,0.0161
3,25,2.094,416,0.0209
3,25,2.145,288,0.0145
3,25,2.197,320,0.0161
3,25,2.248,1408,0.0709
3,25,2.299,320,0.0161
3,25,2.351,784,0.0395
3,25,2.402,320,0.0161
3,25,2.453,512,0.0258
3,25,2.505,320,0.0161
3,25,2.556,336,0.0169
3,25,2.607,336,0.0169
3,25,2.659,320,0.0161
3,25,2.710,720,0.0363
3,25,2.761,320,0.0161
3,25,2.812,0,0.0000
3,25,2.863,320,0.0161
3,25,2.915,416,0.0209
3,25,2.966,320,0.0161
4,50,0.000,432,0.0218
4,50,0.095,320,0.0161
4,50,0.147,1248,0.0628
4,50,0.198,320,0.0161
4,50,0.249,720,0.0363
4,50,0.301,336,0.0169
4,50,0.352,464,0.0234
4,50,0.437,336,0.0169
4,50,0.489,736,0.0371
4,50,0.540,208,0.0105
4,50,0.591,576,0.0290
4,50,0.643,304,0.0153
4,50,0.694,240,0.0121
4,50,0.745,192,0.0097
4,50,0.797,336,0.0169
4,50,0.848,816,0.0411
4,50,0.899,320,0.0161
4,50,0.951,688,0.0346
4,50,1.002,352,0.0177
4,50,1.053,304,0.0153
4,50,1.105,320,0.0161
4,50,1.156,320,0.0161
4,50,1.207,576,0.0290
4,50,1.259,224,0.0113
4,50,1.310,736,0.0371
4,50,1.361,336,0.0169
4,50,1.412,608,0.0306
4,50,1.463,320,0.0161
4,50,1.514,336,0.0169
4,50,1.566,320,0.0161
4,50,1.617,320,0.0161
4,50,1.668,720,0.0363
4,50,1.719,320,0.0161
4,50,1.770,720,0.0363
4,50,1.821,448,0.0226
4,50,1.872,480,0.0242
4,50,1.924,320,0.0161
4,50,1.975,384,0.0193
4,50,2.026,320,0.0161
4,50,2.078,320,0.0161
4,50,2.129,800,0.0403
4,50,2.180,336,0.0169
4,50,2.232,624,0.0314
4,50,2.283,320,0.0161
4,50,2.334,320,0.0161
4,50,2.385,480,0.0242
4,50,2.436,320,0.0161
4,50,2.487,320,0.0161
4,50,2.538,304,0.0153
4,50,2.589,768,0.0387
4,50,2.640,320,0.0161
4,50,2.692,528,0.0266
4,50,2.743,464,0.0234
4,50,2.797,336,0.0169
4,50,2.849,768,0.0387
4,50,2.900,320,0.0161
4,50,2.951,704,0.0354
5,50,0.000,304,0.0153
5,50,0.083,416,0.0209
5,50,0.135,336,0.0169
5,50,0.187,672,0.0338
5,50,0.238,320,0.0161
5,50,0.289,672,0.0338
5,50,0.341,320,0.0161
5,50,0.392,544,0.0274
5,50,0.443,992,0.0500
5,50,0.494,288,0.0145
5,50,0.545,768,0.0387
5,50,0.596,288,0.0145
5,50,0.647,720,0.0363
5,50,0.698,320,0.0161
5,50,0.749,352,0.0177
5,50,0.801,480,0.0242
5,50,0.852,320,0.0161
5,50,0.903,320,0.0161
5,50,0.954,320,0.0161
5,50,1.005,752,0.0379
5,50,1.056,320,0.0161
5,50,1.107,720,0.0363
5,50,1.158,336,0.0169
5,50,1.209,432,0.0218
5,50,1.261,320,0.0161
5,50,1.312,320,0.0161
5,50,1.363,304,0.0153
5,50,1.414,320,0.0161
5,50,1.465,816,0.0411
5,50,1.516,320,0.0161
5,50,1.567,736,0.0371
5,50,1.618,304,0.0153
5,50,1.669,464,0.0234
5,50,1.721,336,0.0169
5,50,1.772,320,0.0161
5,50,1.823,320,0.0161
5,50,1.874,336,0.0169
5,50,1.926,784,0.0395
5,50,1.977,320,0.0161
5,50,2.028,592,0.0298
5,50,2.080,304,0.0153
5,50,2.131,304,0.0153
5,50,2.182,464,0.0234
5,50,2.236,320,0.0161
5,50,2.288,624,0.0314
5,50,2.339,400,0.0201
5,50,2.390,432,0.0218
5,50,2.441,320,0.0161
5,50,2.492,320,0.0161
5,50,2.544,336,0.0169
5,50,2.595,144,0.0073
5,50,2.646,752,0.0379
5,50,2.697,320,0.0161
5,50,2.748,544,0.0274
5,50,2.799,384,0.0193
5,50,2.850,432,0.0218
5,50,2.901,320,0.0161
5,50,2.952,304,0.0153
6,50,0.000,336,0.0169
6,50,0.093,528,0.0266
6,50,0.145,320,0.0161
6,50,0.196,640,0.0322
6,50,0.247,320,0.0161
6,50,0.298,480,0.0242
6,50,0.349,320,0.0161
6,50,0.400,336,0.0169
6,50,0.451,288,0.0145
6,50,0.502,336,0.0169
6,50,0.553,672,0.0338
6,50,0.605,320,0.0161
6,50,0.656,688,0.0346
6,50,0.707,416,0.0209
6,50,0.759,448,0.0226
6,50,0.810,656,0.0330
6,50,0.861,320,0.0161
6,50,0.913,320,0.0161
6,50,0.964,336,0.0169
6,50,1.015,736,0.0371
6,50,1.067,304,0.0153
6,50,1.118,480,0.0242
6,50,1.169,320,0.0161
6,50,1.221,320,0.0161
6,50,1.272,320,0.0161
6,50,1.323,336,0.0169
6,50,1.374,832,0.0419
6,50,1.425,336,0.0169
6,50,1.476,736,0.0371
6,50,1.528,320,0.0161
6,50,1.579,352,0.0177
6,50,1.630,304,0.0153
6,50,1.684,288,0.0145
6,50,1.736,768,0.0387
6,50,1.787,336,0.0169
6,50,1.839,416,0.0209
6,50,1.890,288,0.0145
6,50,1.941,320,0.0161
6,50,1.993,304,0.0153
6,50,2.044,320,0.0161
6,50,2.095,752,0.0379
6,50,2.146,320,0.0161
6,50,2.197,560,0.0282
6,50,2.248,288,0.0145
6,50,2.300,352,0.0177
6,50,2.351,320,0.0161
6,50,2.402,320,0.0161
6,50,2.453,864,0.0435
6,50,2.505,320,0.0161
6,50,2.556,1024,0.0516
6,50,2.607,320,0.0161
6,50,2.659,496,0.0250
6,50,2.710,288,0.0145
6,50,2.761,320,0.0161
6,50,2.812,144,0.0073
6,50,2.863,320,0.0161
6,50,2.914,672,0.0338
6,50,2.966,320,0.0161
7,75,0.000,912,0.0459
7,75,0.098,320,0.0161
7,75,0.150,320,0.0161
7,75,0.201,752,0.0379
7,75,0.252,320,0.0161
7,75,0.303,720,0.0363
7,75,0.354,256,0.0129
7,75,0.405,480,0.0242
7,75,0.456,320,0.0161
7,75,0.507,320,0.0161
7,75,0.558,320,0.0161
7,75,0.609,320,0.0161
7,75,0.660,784,0.0395
7,75,0.712,320,0.0161
7,75,0.763,720,0.0363
7,75,0.814,320,0.0161
7,75,0.865,480,0.0242
7,75,0.917,320,0.0161
7,75,0.968,304,0.0153
7,75,1.019,320,0.0161
7,75,1.103,736,0.0371
7,75,1.155,320,0.0161
7,75,1.206,448,0.0226
7,75,1.257,352,0.0177
7,75,1.308,320,0.0161
7,75,1.359,336,0.0169
7,75,1.410,304,0.0153
7,75,1.461,944,0.0475
7,75,1.512,560,0.0282
7,75,1.564,816,0.0411
7,75,1.615,320,0.0161
7,75,1.666,352,0.0177
7,75,1.718,336,0.0169
7,75,1.769,304,0.0153
7,75,1.820,320,0.0161
7,75,1.871,336,0.0169
7,75,1.922,816,0.0411
7,75,1.973,320,0.0161
7,75,2.025,704,0.0354
7,75,2.076,320,0.0161
7,75,2.127,304,0.0153
7,75,2.178,320,0.0161
7,75,2.229,320,0.0161
7,75,2.280,320,0.0161
7,75,2.331,320,0.0161
7,75,2.383,736,0.0371
7,75,2.434,320,0.0161
7,75,2.485,640,0.0322
7,75,2.537,320,0.0161
7,75,2.588,304,0.0153
7,75,2.639,320,0.0161
7,75,2.691,320,0.0161
7,75,2.742,464,0.0234
7,75,2.793,320,0.0161
7,75,2.845,704,0.0354
7,75,2.896,304,0.0153
7,75,2.947,464,0.0234
7,75,2.998,320,0.0161
8,75,0.001,176,0.0089
8,75,0.084,320,0.0161
8,75,0.136,512,0.0258
8,75,0.187,320,0.0161
8,75,0.238,336,0.0169
8,75,0.290,320,0.0161
8,75,0.341,336,0.0169
8,75,0.392,784,0.0395
8,75,0.446,320,0.0161
8,75,0.498,336,0.0169
8,75,0.550,320,0.0161
8,75,0.601,336,0.0169
8,75,0.652,688,0.0346
8,75,0.703,384,0.0193
8,75,0.754,752,0.0379
8,75,0.805,320,0.0161
8,75,0.857,448,0.0226
8,75,0.908,304,0.0153
8,75,0.959,304,0.0153
8,75,1.010,672,0.0338
8,75,1.061,320,0.0161
8,75,1.112,464,0.0234
8,75,1.163,432,0.0218
8,75,1.215,752,0.0379
8,75,1.266,512,0.0258
8,75,1.317,480,0.0242
8,75,1.369,144,0.0073
8,75,1.420,320,0.0161
8,75,1.471,320,0.0161
8,75,1.523,400,0.0201
8,75,1.574,768,0.0387
8,75,1.625,320,0.0161
8,75,1.677,560,0.0282
8,75,1.728,320,0.0161
8,75,1.779,320,0.0161
8,75,1.831,320,0.0161
8,75,1.882,320,0.0161
8,75,1.933,720,0.0363
8,75,1.985,320,0.0161
8,75,2.036,656,0.0330
8,75,2.087,320,0.0161
8,75,2.138,480,0.0242
8,75,2.189,320,0.0161
8,75,2.240,320,0.0161
8,75,2.291,496,0.0250
8,75,2.342,336,0.0169
8,75,2.393,848,0.0427
8,75,2.444,320,0.0161
8,75,2.495,784,0.0395
8,75,2.546,320,0.0161
8,75,2.597,608,0.0306
8,75,2.648,320,0.0161
8,75,2.699,336,0.0169
8,75,2.751,304,0.0153
8,75,2.802,320,0.0161
8,75,2.856,720,0.0363
8,75,2.908,320,0.0161
8,75,2.959,352,0.0177
9,75,0.001,304,0.0153
9,75,0.090,320,0.0161
9,75,0.142,336,0.0169
9,75,0.193,272,0.0137
9,75,0.245,336,0.0169
9,75,0.296,1024,0.0516
9,75,0.347,336,0.0169
9,75,0.398,736,0.0371
9,75,0.449,320,0.0161
9,75,0.500,400,0.0201
9,75,0.551,128,0.0064
9,75,0.602,384,0.0193
9,75,0.653,320,0.0161
9,75,0.705,128,0.0064
9,75,0.756,304,0.0153
9,75,0.807,320,0.0161
9,75,0.859,736,0.0371
9,75,0.910,400,0.0201
9,75,0.961,800,0.0403
9,75,1.012,400,0.0201
9,75,1.063,384,0.0193
9,75,1.114,304,0.0153
9,75,1.165,320,0.0161
9,75,1.216,336,0.0169
9,75,1.267,160,0.0081
9,75,1.319,736,0.0371
9,75,1.370,320,0.0161
9,75,1.421,528,0.0266
9,75,1.472,320,0.0161
9,75,1.523,416,0.0209
9,75,1.574,464,0.0234
9,75,1.625,320,0.0161
9,75,1.676,320,0.0161
9,75,1.727,320,0.0161
9,75,1.778,736,0.0371
9,75,1.829,320,0.0161
9,75,1.880,736,0.0371
9,75,1.931,304,0.0153
9,75,1.983,384,0.0193
9,75,2.034,336,0.0169
9,75,2.085,320,0.0161
9,75,2.137,320,0.0161
9,75,2.188,464,0.0234
9,75,2.242,320,0.0161
9,75,2.294,320,0.0161
9,75,2.345,320,0.0161
9,75,2.397,320,0.0161
9,75,2.448,320,0.0161
9,75,2.499,752,0.0379
9,75,2.551,400,0.0201
9,75,2.602,496,0.0250
9,75,2.653,320,0.0161
9,75,2.705,320,0.0161
9,75,2.756,304,0.0153
9,75,2.807,320,0.0161
9,75,2.858,176,0.0089
9,75,2.909,320,0.0161
9,75,2.960,736,0.0371
10,100,0.000,320,0.0161
10,100,0.095,336,0.0169
10,100,0.147,784,0.0395
10,100,0.198,192,0.0097
10,100,0.249,640,0.0322
10,100,0.300,288,0.0145
10,100,0.351,336,0.0169
10,100,0.402,336,0.0169
10,100,0.453,320,0.0161
10,100,0.504,320,0.0161
10,100,0.555,128,0.0064
10,100,0.606,736,0.0371
10,100,0.657,320,0.0161
10,100,0.709,672,0.0338
10,100,0.760,336,0.0169
10,100,0.811,336,0.0169
10,100,0.862,320,0.0161
10,100,0.913,288,0.0145
10,100,0.964,320,0.0161
10,100,1.015,320,0.0161
10,100,1.066,928,0.0467
10,100,1.117,336,0.0169
10,100,1.169,688,0.0346
10,100,1.220,288,0.0145
10,100,1.271,400,0.0201
10,100,1.322,320,0.0161
10,100,1.374,656,0.0330
10,100,1.425,336,0.0169
10,100,1.476,96,0.0048
10,100,1.558,480,0.0242
10,100,1.610,528,0.0266
10,100,1.661,304,0.0153
10,100,1.713,320,0.0161
10,100,1.764,320,0.0161
10,100,1.815,320,0.0161
10,100,1.867,720,0.0363
10,100,1.918,304,0.0153
10,100,1.969,672,0.0338
10,100,2.021,320,0.0161
10,100,2.072,336,0.0169
10,100,2.123,320,0.0161
10,100,2.175,320,0.0161
10,100,2.226,320,0.0161
10,100,2.277,320,0.0161
10,100,2.329,784,0.0395
10,100,2.380,320,0.0161
10,100,2.431,464,0.0234
10,100,2.483,144,0.0073
10,100,2.534,144,0.0073
10,100,2.585,320,0.0161
10,100,2.637,304,0.0153
10,100,2.688,800,0.0403
10,100,2.739,304,0.0153
10,100,2.791,560,0.0282
10,100,2.842,176,0.0089
10,100,2.893,208,0.0105
10,100,2.945,336,0.0169
10,100,2.996,320,0.0161
11,100,0.001,304,0.0153
11,100,0.081,256,0.0129
11,100,0.133,576,0.0290
11,100,0.184,320,0.0161
11,100,0.236,720,0.0363
11,100,0.287,320,0.0161
11,100,0.338,352,0.0177
11,100,0.390,320,0.0161
11,100,0.441,368,0.0185
11,100,0.492,336,0.0169
11,100,0.543,272,0.0137
11,100,0.594,800,0.0403
11,100,0.645,320,0.0161
11,100,0.697,608,0.0306
11,100,0.750,160,0.0081
11,100,0.802,208,0.0105
11,100,0.853,752,0.0379
11,100,0.904,320,0.0161
11,100,0.956,736,0.0371
11,100,1.007,320,0.0161
11,100,1.058,288,0.0145
11,100,1.110,320,0.0161
11,100,1.161,208,0.0105
11,100,1.212,320,0.0161
11,100,1.264,320,0.0161
11,100,1.315,768,0.0387
11,100,1.366,320,0.0161
11,100,1.417,544,0.0274
11,100,1.469,320,0.0161
11,100,1.520,320,0.0161
11,100,1.571,304,0.0153
11,100,1.623,320,0.0161
11,100,1.674,832,0.0419
11,100,1.725,304,0.0153
11,100,1.776,768,0.0387
11,100,1.827,304,0.0153
11,100,1.878,336,0.0169
11,100,1.929,336,0.0169
11,100,1.980,176,0.0089
11,100,2.031,320,0.0161
11,100,2.082,272,0.0137
11,100,2.133,656,0.0330
11,100,2.184,320,0.0161
11,100,2.235,736,0.0371
11,100,2.286,320,0.0161
11,100,2.337,512,0.0258
11,100,2.389,304,0.0153
11,100,2.440,336,0.0169
11,100,2.491,384,0.0193
11,100,2.542,304,0.0153
11,100,2.594,768,0.0387
11,100,2.645,384,0.0193
11,100,2.696,624,0.0314
11,100,2.748,336,0.0169
11,100,2.799,160,0.0081
11,100,2.850,240,0.0121
11,100,2.904,336,0.0169
11,100,2.956,672,0.0338
12,100,0.000,496,0.0250
12,100,0.091,464,0.0234
12,100,0.143,640,0.0322
12,100,0.194,320,0.0161
12,100,0.245,304,0.0153
12,100,0.297,912,0.0459
12,100,0.348,320,0.0161
12,100,0.399,784,0.0395
12,100,0.451,432,0.0218
12,100,0.502,336,0.0169
12,100,0.553,288,0.0145
12,100,0.605,592,0.0298
12,100,0.656,320,0.0161
12,100,0.707,304,0.0153
12,100,0.758,768,0.0387
12,100,0.809,320,0.0161
12,100,0.860,592,0.0298
12,100,0.912,336,0.0169
12,100,0.963,320,0.0161
12,100,1.014,304,0.0153
12,100,1.065,304,0.0153
12,100,1.117,1216,0.0612
12,100,1.168,288,0.0145
12,100,1.219,736,0.0371
12,100,1.271,288,0.0145
12,100,1.322,400,0.0201
12,100,1.373,320,0.0161
12,100,1.425,400,0.0201
12,100,1.476,320,0.0161
12,100,1.527,336,0.0169
12,100,1.579,768,0.0387
12,100,1.630,320,0.0161
12,100,1.681,288,0.0145
12,100,1.732,320,0.0161
12,100,1.783,336,0.0169
12,100,1.834,320,0.0161
12,100,1.885,320,0.0161
12,100,1.936,320,0.0161
12,100,1.987,336,0.0169
12,100,2.039,800,0.0403
12,100,2.090,320,0.0161
12,100,2.144,336,0.0169
12,100,2.196,320,0.0161
12,100,2.247,320,0.0161
12,100,2.298,784,0.0395
12,100,2.350,320,0.0161
12,100,2.401,592,0.0298
12,100,2.452,320,0.0161
12,100,2.504,320,0.0161
12,100,2.555,320,0.0161
12,100,2.606,320,0.0161
12,100,2.658,832,0.0419
12,100,2.709,320,0.0161
12,100,2.760,672,0.0338
12,100,2.811,320,0.0161
12,100,2.862,352,0.0177
12,100,2.913,336,0.0169
12,100,2.964,320,0.0161
13,150,0.000,35240,1.7745
13,150,0.099,35480,1.7866
13,150,0.151,35288,1.7769
13,150,0.202,35608,1.7930
13,150,0.253,34728,1.7487
13,150,0.305,35432,1.7842
13,150,0.356,35096,1.7673
13,150,0.407,35032,1.7640
13,150,0.459,34696,1.7471
13,150,0.510,34136,1.7189
13,150,0.561,35048,1.7648
13,150,0.612,34536,1.7391
13,150,0.663,35112,1.7681
13,150,0.714,35288,1.7769
13,150,0.765,33624,1.6931
13,150,0.816,34488,1.7366
13,150,0.867,33048,1.6641
13,150,0.919,34920,1.7584
13,150,0.970,34536,1.7391
13,150,1.021,33112,1.6673
13,150,1.072,32471,1.6351
13,150,1.124,32183,1.6206
13,150,1.175,34008,1.7125
13,150,1.226,33160,1.6698
13,150,1.311,34232,1.7237
13,150,1.363,33304,1.6770
13,150,1.414,33416,1.6827
13,150,1.465,33736,1.6988
13,150,1.516,33688,1.6964
13,150,1.567,33480,1.6859
13,150,1.618,34616,1.7431
13,150,1.669,33880,1.7060
13,150,1.721,34616,1.7431
13,150,1.772,34888,1.7568
13,150,1.823,34296,1.7270
13,150,1.874,34568,1.7407
13,150,1.926,34376,1.7310
13,150,1.977,35336,1.7793
13,150,2.028,35160,1.7705
13,150,2.080,35256,1.7753
13,150,2.131,35640,1.7946
13,150,2.182,35864,1.8059
13,150,2.233,35656,1.7954
13,150,2.284,35928,1.8091
13,150,2.335,35800,1.8027
13,150,2.387,35688,1.7971
13,150,2.438,35256,1.7753
13,150,2.489,35768,1.8011
13,150,2.540,35144,1.7697
13,150,2.592,35560,1.7906
13,150,2.643,35160,1.7705
13,150,2.694,35352,1.7801
13,150,2.745,35176,1.7713
13,150,2.796,35288,1.7769
13,150,2.847,35752,1.8003
13,150,2.898,35144,1.7697
13,150,2.949,35096,1.7673
14,150,0.000,34904,1.7576
14,150,0.080,33752,1.6996
14,150,0.132,34136,1.7189
14,150,0.183,33416,1.6827
14,150,0.235,34568,1.7407
14,150,0.286,33352,1.6794
14,150,0.340,34216,1.7229
14,150,0.392,34024,1.7133
14,150,0.443,34216,1.7229
14,150,0.495,34360,1.7302
14,150,0.546,33720,1.6980
14,150,0.597,33672,1.6955
14,150,0.648,31511,1.5867
14,150,0.700,32904,1.6569
14,150,0.751,32567,1.6399
14,150,0.802,33416,1.6827
14,150,0.854,32808,1.6520
14,150,0.905,33496,1.6867
14,150,0.956,34712,1.7479
14,150,1.007,34184,1.7213
14,150,1.058,34968,1.7608
14,150,1.109,34696,1.7471
14,150,1.160,34984,1.7616
14,150,1.211,34856,1.7552
14,150,1.262,33368,1.6802
14,150,1.313,33656,1.6947
14,150,1.365,33464,1.6851
14,150,1.416,33464,1.6851
14,150,1.467,33496,1.6867
14,150,1.519,33240,1.6738
14,150,1.570,34152,1.7197
14,150,1.621,33000,1.6617
14,150,1.672,34280,1.7262
14,150,1.723,34424,1.7334
14,150,1.774,34216,1.7229
14,150,1.826,34296,1.7270
14,150,1.877,33608,1.6923
14,150,1.928,32487,1.6359
14,150,1.979,33880,1.7060
14,150,2.031,33448,1.6843
14,150,2.082,34184,1.7213
14,150,2.133,34136,1.7189
14,150,2.185,34024,1.7133
14,150,2.236,34152,1.7197
14,150,2.287,34136,1.7189
14,150,2.341,34120,1.7181
14,150,2.393,34696,1.7471
14,150,2.444,34952,1.7600
14,150,2.495,35128,1.7689
14,150,2.546,35000,1.7624
14,150,2.597,35064,1.7656
14,150,2.649,35880,1.8067
14,150,2.700,36232,1.8245
14,150,2.751,36744,1.8502
14,150,2.802,36296,1.8277
14,150,2.853,36296,1.8277
14,150,2.904,37289,1.8777
14,150,2.955,37673,1.8970
15,150,0.000,36696,1.8478
15,150,0.093,36552,1.8406
