object,motion,force,raw,voltage
beans,slide,1,336,0.0169
beans,slide,1,464,0.0234
beans,slide,1,320,0.0161
beans,slide,1,256,0.0129
beans,slide,1,336,0.0169
beans,slide,1,336,0.0169
beans,slide,1,320,0.0161
beans,slide,1,336,0.0169
beans,slide,1,160,0.0081
beans,slide,1,320,0.0161
beans,slide,1,304,0.0153
beans,slide,1,336,0.0169
beans,slide,1,272,0.0137
beans,slide,1,320,0.0161
beans,slide,1,336,0.0169
beans,slide,1,320,0.0161
beans,slide,1,320,0.0161
beans,slide,1,320,0.0161
beans,slide,1,320,0.0161
beans,slide,1,336,0.0169
beans,slide,1,304,0.0153
beans,slide,1,320,0.0161
beans,slide,1,320,0.0161
beans,slide,1,336,0.0169
beans,slide,1,320,0.0161
beans,slide,1,176,0.0089
beans,slide,1,336,0.0169
beans,slide,1,336,0.0169
beans,slide,1,336,0.0169
beans,slide,1,320,0.0161
beans,slide,1,336,0.0169
beans,slide,1,320,0.0161
beans,slide,1,304,0.0153
beans,slide,1,256,0.0129
beans,slide,1,336,0.0169
beans,slide,1,352,0.0177
beans,slide,1,336,0.0169
beans,slide,1,320,0.0161
beans,slide,1,320,0.0161
beans,slide,1,320,0.0161
beans,slide,1,304,0.0153
beans,slide,1,240,0.0121
beans,slide,1,672,0.0338
beans,slide,1,848,0.0427
beans,slide,1,336,0.0169
beans,slide,1,976,0.0491
beans,slide,1,912,0.0459
beans,slide,1,912,0.0459
beans,slide,1,1072,0.0540
beans,slide,1,912,0.0459
beans,rotate,1,240,0.0121
beans,rotate,1,320,0.0161
beans,rotate,1,256,0.0129
beans,rotate,1,320,0.0161
beans,rotate,1,336,0.0169
beans,rotate,1,320,0.0161
beans,rotate,1,320,0.0161
beans,rotate,1,336,0.0169
beans,rotate,1,336,0.0169
beans,rotate,1,448,0.0226
beans,rotate,1,288,0.0145
beans,rotate,1,320,0.0161
beans,rotate,1,320,0.0161
beans,rotate,1,608,0.0306
beans,rotate,1,592,0.0298
beans,rotate,1,320,0.0161
beans,rotate,1,336,0.0169
beans,rotate,1,320,0.0161
beans,rotate,1,320,0.0161
beans,rotate,1,336,0.0169
beans,rotate,1,176,0.0089
beans,rotate,1,640,0.0322
beans,rotate,1,320,0.0161
beans,rotate,1,320,0.0161
beans,rotate,1,320,0.0161
beans,rotate,1,192,0.0097
beans,rotate,1,336,0.0169
beans,rotate,1,272,0.0137
beans,rotate,1,208,0.0105
beans,rotate,1,320,0.0161
beans,rotate,1,704,0.0354
beans,rotate,1,896,0.0451
beans,rotate,1,1040,0.0524
beans,rotate,1,832,0.0419
beans,rotate,1,896,0.0451
beans,rotate,1,864,0.0435
beans,rotate,1,816,0.0411
beans,rotate,1,768,0.0387
beans,rotate,1,832,0.0419
beans,rotate,1,656,0.0330
beans,rotate,1,640,0.0322
beans,rotate,1,352,0.0177
beans,rotate,1,336,0.0169
beans,rotate,1,320,0.0161
beans,rotate,1,144,0.0073
beans,rotate,1,336,0.0169
beans,rotate,1,320,0.0161
beans,rotate,1,320,0.0161
beans,rotate,1,304,0.0153
beans,rotate,1,336,0.0169
beans,slide,2,57838,2.9124
beans,slide,2,57341,2.8874
beans,slide,2,57341,2.8874
beans,slide,2,57101,2.8753
beans,slide,2,54125,2.7255
beans,slide,2,51804,2.6086
beans,slide,2,51788,2.6078
beans,slide,2,52668,2.6521
beans,slide,2,53164,2.6771
beans,slide,2,52892,2.6634
beans,slide,2,53725,2.7053
beans,slide,2,54333,2.7359
beans,slide,2,54349,2.7367
beans,slide,2,55069,2.7730
beans,slide,2,55501,2.7947
beans,slide,2,54941,2.7665
beans,slide,2,55453,2.7923
beans,slide,2,54861,2.7625
beans,slide,2,55181,2.7786
beans,slide,2,54925,2.7657
beans,slide,2,55117,2.7754
beans,slide,2,55741,2.8068
beans,slide,2,56157,2.8278
beans,slide,2,55325,2.7859
beans,slide,2,55645,2.8020
beans,slide,2,56109,2.8254
beans,slide,2,56029,2.8213
beans,slide,2,55693,2.8044
beans,slide,2,56173,2.8286
beans,slide,2,56093,2.8246
beans,slide,2,56717,2.8560
beans,slide,2,57341,2.8874
beans,slide,2,57614,2.9011
beans,slide,2,58606,2.9511
beans,slide,2,58078,2.9245
beans,slide,2,58270,2.9342
beans,slide,2,58446,2.9430
beans,slide,2,58638,2.9527
beans,slide,2,58462,2.9438
beans,slide,2,58318,2.9366
beans,slide,2,58078,2.9245
beans,slide,2,58558,2.9487
beans,slide,2,58734,2.9575
beans,slide,2,59198,2.9809
beans,slide,2,59118,2.9769
beans,slide,2,58638,2.9527
beans,slide,2,58558,2.9487
beans,slide,2,59022,2.9720
beans,slide,2,58318,2.9366
beans,slide,2,58046,2.9229
beans,rotate,2,54829,2.7609
beans,rotate,2,54701,2.7545
beans,rotate,2,55341,2.7867
beans,rotate,2,55581,2.7988
beans,rotate,2,54877,2.7633
beans,rotate,2,54829,2.7609
beans,rotate,2,55197,2.7794
beans,rotate,2,55693,2.8044
beans,rotate,2,56557,2.8479
beans,rotate,2,56861,2.8632
beans,rotate,2,57309,2.8858
beans,rotate,2,57005,2.8705
beans,rotate,2,57742,2.9076
beans,rotate,2,57341,2.8874
beans,rotate,2,57341,2.8874
beans,rotate,2,57646,2.9028
beans,rotate,2,57341,2.8874
beans,rotate,2,57838,2.9124
beans,rotate,2,57341,2.8874
beans,rotate,2,57870,2.9140
beans,rotate,2,57694,2.9052
beans,rotate,2,57614,2.9011
beans,rotate,2,57854,2.9132
beans,rotate,2,57309,2.8858
beans,rotate,2,57470,2.8939
beans,rotate,2,57566,2.8987
beans,rotate,2,57598,2.9003
beans,rotate,2,57854,2.9132
beans,rotate,2,58334,2.9374
beans,rotate,2,58846,2.9632
beans,rotate,2,58718,2.9567
beans,rotate,2,58686,2.9551
beans,rotate,2,58334,2.9374
beans,rotate,2,58894,2.9656
beans,rotate,2,58334,2.9374
beans,rotate,2,59054,2.9737
beans,rotate,2,57822,2.9116
beans,rotate,2,57341,2.8874
beans,rotate,2,57341,2.8874
beans,rotate,2,57406,2.8907
beans,rotate,2,58206,2.9309
beans,rotate,2,58078,2.9245
beans,rotate,2,57518,2.8963
beans,rotate,2,58030,2.9221
beans,rotate,2,58334,2.9374
beans,rotate,2,58254,2.9334
beans,rotate,2,57742,2.9076
beans,rotate,2,57870,2.9140
beans,rotate,2,58894,2.9656
beans,rotate,2,58686,2.9551
beans,slide,3,59870,3.0147
beans,slide,3,60638,3.0534
beans,slide,3,60654,3.0542
beans,slide,3,60510,3.0470
beans,slide,3,60366,3.0397
beans,slide,3,60078,3.0252
beans,slide,3,60190,3.0309
beans,slide,3,60638,3.0534
beans,slide,3,60222,3.0325
beans,slide,3,60206,3.0317
beans,slide,3,60222,3.0325
beans,slide,3,60734,3.0582
beans,slide,3,60174,3.0300
beans,slide,3,60958,3.0695
beans,slide,3,60382,3.0405
beans,slide,3,60334,3.0381
beans,slide,3,60478,3.0454
beans,slide,3,60478,3.0454
beans,slide,3,60750,3.0591
beans,slide,3,60878,3.0655
beans,slide,3,60958,3.0695
beans,slide,3,60270,3.0349
beans,slide,3,60590,3.0510
beans,slide,3,60302,3.0365
beans,slide,3,60174,3.0300
beans,slide,3,60814,3.0623
beans,slide,3,60686,3.0558
beans,slide,3,60238,3.0333
beans,slide,3,60846,3.0639
beans,slide,3,60446,3.0437
beans,slide,3,60478,3.0454
beans,slide,3,60382,3.0405
beans,slide,3,60478,3.0454
beans,slide,3,60382,3.0405
beans,slide,3,60382,3.0405
beans,slide,3,60318,3.0373
beans,slide,3,60318,3.0373
beans,slide,3,61006,3.0719
beans,slide,3,60270,3.0349
beans,slide,3,60734,3.0582
beans,slide,3,60862,3.0647
beans,slide,3,61022,3.0727
beans,slide,3,60254,3.0341
beans,slide,3,60942,3.0687
beans,slide,3,60718,3.0574
beans,slide,3,60718,3.0574
beans,slide,3,60590,3.0510
beans,slide,3,60558,3.0494
beans,slide,3,60526,3.0478
beans,slide,3,60382,3.0405
beans,rotate,3,61038,3.0736
beans,rotate,3,61102,3.0768
beans,rotate,3,61471,3.0954
beans,rotate,3,61342,3.0889
beans,rotate,3,61086,3.0760
beans,rotate,3,61374,3.0905
beans,rotate,3,61374,3.0905
beans,rotate,3,61663,3.1050
beans,rotate,3,61006,3.0719
