position,time_s,raw,voltage
top,0.000,272,0.0137
top,0.051,784,0.0395
top,0.102,320,0.0161
top,0.153,592,0.0298
top,0.204,208,0.0105
top,0.255,320,0.0161
top,0.306,480,0.0242
top,0.357,320,0.0161
top,0.409,768,0.0387
top,0.460,320,0.0161
top,0.511,704,0.0354
top,0.562,352,0.0177
top,0.613,320,0.0161
top,0.664,976,0.0491
top,0.715,320,0.0161
top,0.766,11586,0.5834
top,0.817,29991,1.5102
top,0.868,40281,2.0283
top,0.920,49468,2.4909
top,0.971,52876,2.6626
top,1.022,56349,2.8374
top,1.073,57630,2.9019
top,1.124,58382,2.9398
top,1.175,59534,2.9978
top,1.227,59470,2.9946
top,1.278,59982,3.0204
top,1.329,60046,3.0236
top,1.380,60350,3.0389
top,1.431,60526,3.0478
top,1.482,60734,3.0582
top,1.534,60862,3.0647
top,1.585,61070,3.0752
top,1.636,60910,3.0671
top,1.687,61038,3.0736
top,1.738,60526,3.0478
top,1.789,61006,3.0719
top,1.840,61134,3.0784
top,1.891,61022,3.0727
top,1.942,60910,3.0671
top,1.993,61102,3.0768
side,0.000,816,0.0411
side,0.051,320,0.0161
side,0.102,496,0.0250
side,0.154,320,0.0161
side,0.205,320,0.0161
side,0.256,320,0.0161
side,0.307,336,0.0169
side,0.358,688,0.0346
side,0.409,320,0.0161
side,0.460,704,0.0354
side,0.511,288,0.0145
side,0.562,352,0.0177
side,0.613,320,0.0161
side,0.664,320,0.0161
side,0.715,1248,0.0628
side,0.767,14803,0.7454
side,0.818,21765,1.0960
side,0.869,33544,1.6891
side,0.920,41322,2.0808
side,0.971,47819,2.4079
side,1.022,52604,2.6489
side,1.073,55997,2.8197
side,1.124,58110,2.9261
side,1.175,58222,2.9318
side,1.226,59214,2.9817
side,1.277,59358,2.9890
side,1.328,59934,3.0180
side,1.379,60622,3.0526
side,1.430,60798,3.0615
side,1.481,61198,3.0816
side,1.532,60910,3.0671
side,1.583,61471,3.0954
side,1.634,61038,3.0736
side,1.685,61615,3.1026
side,1.737,61294,3.0864
side,1.788,61631,3.1034
side,1.839,62047,3.1244
side,1.890,61390,3.0913
side,1.941,61743,3.1091
side,1.992,61759,3.1099
bottom,0.000,19988,1.0065
bottom,0.051,19860,1.0000
bottom,0.102,15779,0.7945
bottom,0.154,21141,1.0646
bottom,0.205,22341,1.1250
bottom,0.256,21061,1.0605
bottom,0.307,24790,1.2483
bottom,0.358,28246,1.4223
bottom,0.410,29511,1.4860
bottom,0.461,28646,1.4425
bottom,0.512,28807,1.4506
bottom,0.563,30247,1.5231
bottom,0.614,30423,1.5319
bottom,0.665,33864,1.7052
bottom,0.717,36536,1.8398
bottom,0.768,39113,1.9695
bottom,0.819,43674,2.1992
bottom,0.870,47691,2.4015
bottom,0.921,53821,2.7101
bottom,0.972,56013,2.8205
bottom,1.024,58222,2.9318
bottom,1.075,58910,2.9664
bottom,1.126,59742,3.0083
bottom,1.177,60366,3.0397
bottom,1.228,60302,3.0365
bottom,1.279,61086,3.0760
bottom,1.330,61230,3.0832
bottom,1.381,61278,3.0856
bottom,1.432,61326,3.0881
bottom,1.483,61583,3.1010
bottom,1.534,61599,3.1018
bottom,1.586,61134,3.0784
bottom,1.637,61551,3.0994
bottom,1.688,61711,3.1074
bottom,1.739,61631,3.1034
bottom,1.790,61535,3.0986
bottom,1.841,61551,3.0994
bottom,1.892,61727,3.1082
bottom,1.943,61631,3.1034
bottom,1.994,61855,3.1147
